Signature,BlockTime,BuySell,Source,Destination,Amount,Protocol,WalletAddress
3h2ZJKshEAjucQ5nC49UmLjrEKVH8J8opsoWuQp2Un6gUTL1jHK6isMpoYVop43LpdLd1auPuLAbEZz8mYuUnoW6,2025-07-08T18:54:32Z,Buy,6U4TBh3aJgiJ5EqCDEua4rP75HsqcfHapMKhhyuTqGuo,GqqsmWTKpbtFgUmzgMvYn45RZZjADJQDLNiLqsdfpVeG,151.817418,Other,GqqsmWTKpbtFgUmzgMvYn45RZZjADJQDLNiLqsdfpVeG
3h2ZJKshEAjucQ5nC49UmLjrEKVH8J8opsoWuQp2Un6gUTL1jHK6isMpoYVop43LpdLd1auPuLAbEZz8mYuUnoW6,2025-07-08T18:54:32Z,Buy,J5jzvT22u1Mt6de4gkBhEsTSTjBfYS7A6aF5jzu9ihkC,GqqsmWTKpbtFgUmzgMvYn45RZZjADJQDLNiLqsdfpVeG,129.291766,Other,GqqsmWTKpbtFgUmzgMvYn45RZZjADJQDLNiLqsdfpVeG
3AC6cHbiJ1dmzaBzC9Aevo9DYw9zywKA9mSWu4unagfnAzRTM58PawawhoZNU9dbA4rm9krrdnX5J7AvX9VTdieh,2025-07-08T18:54:51Z,Sell,GqqsmWTKpbtFgUmzgMvYn45RZZjADJQDLNiLqsdfpVeG,FeLULW5RCKDT2NuThu4vrAQ8BjH5YbU2Y7GbiZXYohm8,1.806324,Other,GqqsmWTKpbtFgUmzgMvYn45RZZjADJQDLNiLqsdfpVeG
SX1KBhPbHZgMNWwaQjdUJp8ChfjK3U1VUJB8K1tfyHbkuKup9poHLRmuoQDHcrVHh6xBAyaxk6jCEodrH4E4jwz,2025-07-08T19:39:15Z,Sell,GqqsmWTKpbtFgUmzgMvYn45RZZjADJQDLNiLqsdfpVeG,7rhxnLV8C77o6d8oz26AgK8x8m5ePsdeRawjqvojbjnQ,640,Other,GqqsmWTKpbtFgUmzgMvYn45RZZjADJQDLNiLqsdfpVeG
4cJvzffyyTWoiQef3NL3Y4RAXYMVmuHRBoQR8zsAJ8FB7gMwBd4c3FJ2SHyGZCUReNGqTvj2Rdrkr7RqSPtxRwFs,2025-07-09T14:15:14Z,Buy,GqqsmWTKpbtFgUmzgMvYn45RZZjADJQDLNiLqsdfpVeG,BMnT51N4iSNhWU5PyFFgWwFvN1jgaiiDr9ZHgnkm3iLJ,500,Other,BMnT51N4iSNhWU5PyFFgWwFvN1jgaiiDr9ZHgnkm3iLJ
2oqkwfNaY2Bxj9u3LWECU3chenHv1uZvh4G7TbamyhR7mQ1xcoTPRjJJw3zChYVCwWziCnmeDGW5eE4sfXn3aZac,2025-07-09T15:32:28Z,Sell,7rhxnLV8C77o6d8oz26AgK8x8m5ePsdeRawjqvojbjnQ,CaThRVRVSse76ABbdJxcz3LSNcnoXoHqxc3DLm53LKuQ,71.2,Other,7rhxnLV8C77o6d8oz26AgK8x8m5ePsdeRawjqvojbjnQ
2PGBG5EmxAdasfrbZFHXp6r2wCpwMHqiSA35tV4QQuQkKKWW7EoqQVvaZhJVtEzk5bzPbDxuVLu8ZYP4XgyXU44S,2025-07-09T15:32:37Z,Buy,3MjwoqZHAAbCQLBSn6DtmgL6rpazvgYaxBYGHaxiQYTx,BMnT51N4iSNhWU5PyFFgWwFvN1jgaiiDr9ZHgnkm3iLJ,304.715191,Other,BMnT51N4iSNhWU5PyFFgWwFvN1jgaiiDr9ZHgnkm3iLJ
